LayerParent;Layer;art;x1;y1;w;h;ArtboardName
GelPolishMain;941474;941474;-51;-6;30;94;GP
GelPolishMain;941473;941473;-51;-6;30;94;GP
GelPolishMain;941472;941472;-51;-6;30;94;GP
GelPolishMain;941471;941471;-51;-6;30;94;GP
GelPolishMain;941470;941470;-51;-6;30;94;GP
GelPolishMain;941445 Top;941445;-51;-6;30;94;GP
GelPolishMain;941444 Base;941444;-51;-6;30;94;GP
GelPolishMain;941443;941443;-51;-6;30;94;GP
GelPolishMain;941442;941442;-51;-6;30;94;GP
GelPolishMain;941441;941441;-51;-6;30;94;GP
GelPolishMain;941440;941440;-51;-6;30;94;GP
GelPolishMain;941439;941439;-51;-6;30;94;GP
GelPolishMain;941438;941438;-51;-6;30;94;GP
GelPolishMain;941437;941437;-51;-6;30;94;GP
GelPolishMain;941436;941436;-51;-6;30;94;GP
GelPolishMain;941435;941435;-51;-6;30;94;GP
GelPolishMain;941434;941434;-51;-6;30;94;GP
GelPolishMain;941433;941433;-51;-6;30;94;GP
GelPolishMain;941432;941432;-51;-6;30;94;GP
GelPolishMain;941431;941431;-51;-6;30;94;GP
GelPolishMain;941430;941430;-51;-6;30;94;GP
GelPolishMain;941429;941429;-51;-6;30;94;GP
GelPolishMain;941428;941428;-51;-6;30;94;GP
GelPolishMain;941427;941427;-51;-6;30;94;GP
GelPolishMain;941426;941426;-51;-6;30;94;GP
GelPolishMain;941425;941425;-51;-6;30;94;GP
GelPolishMain;941424;941424;-51;-6;30;94;GP
GelPolishMain;941423;941423;-51;-6;30;94;GP
GelPolishMain;941422;941422;-51;-6;30;94;GP
GelPolishMain;941421;941421;-51;-6;30;94;GP
GelPolishMain;941420-BaseTop;941420;-51;-6;30;94;GP
GelPolishMain;941419;941419;-51;-6;30;94;GP
GelPolishMain;941418;941418;-51;-6;30;94;GP
GelPolishMain;941417;941417;-51;-6;30;94;GP
GelPolishMain;941416;941416;-51;-6;30;94;GP
GelPolishMain;941415;941415;-51;-6;30;94;GP
GelPolishMain;941414;941414;-51;-6;30;94;GP
GelPolishMain;941413;941413;-51;-6;30;94;GP
GelPolishMain;941412;941412;-51;-6;30;94;GP
GelPolishMain;941411;941411;-51;-6;30;94;GP
GelPolishMain;941410;941410;-51;-6;30;94;GP
GelPolishMain;941409;941409;-51;-6;30;94;GP
GelPolishMain;941408;941408;-51;-6;30;94;GP
GelPolishMain;941407;941407;-51;-6;30;94;GP
GelPolishMain;941406;941406;-51;-6;30;94;GP
GelPolishMain;941405;941405;-51;-6;30;94;GP
GelPolishMain;941404;941404;-51;-6;30;94;GP
GelPolishMain;941403;941403;-51;-6;30;94;GP
GelPolishMain;941402;941402;-51;-6;30;94;GP
GelPolishMain;941764;941764;-51;-6;30;94;GP
GelPolishMain;941762;941762;-51;-6;30;94;GP
GelPolishMain;941760;941760;-51;-6;30;94;GP
GelPolishMain;941763;941763;-51;-6;30;94;GP
GelPolishMain;941759;941759;-51;-6;30;94;GP
GelPolishMain;941756;941756;-51;-6;30;94;GP
GelPolishMain;941761;941761;-51;-6;30;94;GP
GelPolishMain;941758;941758;-51;-6;30;94;GP
GelPolishMain;941757;941757;-51;-6;30;94;GP
GelPolishMain;941770;941770;-51;-6;30;94;GP
GelPolishMain;941769;941769;-51;-6;30;94;GP
GelPolishMain;941768;941768;-51;-6;30;94;GP
GelPolishMain;941767;941767;-51;-6;30;94;GP
GelPolishMain;941766;941766;-51;-6;30;94;GP
GelPolishMain;941765;941765;-51;-6;30;94;GP
GelPolishGlitter;941692;941692;54;-6;30;94;GP-Glitter
GelPolishGlitter;941691;941691;54;-6;30;94;GP-Glitter
GelPolishGlitter;941690;941690;54;-6;30;94;GP-Glitter
GelPolishGlitter;941689;941689;54;-6;30;94;GP-Glitter
GelPolishGlitter;941654;941654;54;-6;30;94;GP-Glitter
GelPolishGlitter;941647;941647;54;-6;30;94;GP-Glitter
GelPolishGlitter;941633;941633;54;-6;30;94;GP-Glitter
GelPolishGlitter;941632;941632;54;-6;30;94;GP-Glitter
GelPolishGlitter;941631;941631;54;-6;30;94;GP-Glitter
GelPolishGlitter;941630;941630;54;-6;30;94;GP-Glitter
GelPolishGlitter;941629;941629;54;-6;30;94;GP-Glitter
GelPolishGlitter;941628;941628;54;-6;30;94;GP-Glitter
GelPolishGlitter;941627;941627;54;-6;30;94;GP-Glitter
GelPolishGlitter;941626;941626;54;-6;30;94;GP-Glitter
GelPolishGlitter;941625;941625;54;-6;30;94;GP-Glitter
GelPolishGlitter;941624;941624;54;-6;30;94;GP-Glitter
GelPolishGlitter;941623;941623;54;-6;30;94;GP-Glitter
GelPolishGlitter;941622;941622;54;-6;30;94;GP-Glitter
GelPolishGlitter;941621;941621;54;-6;30;94;GP-Glitter
GelPolishGlitter;941620;941620;54;-6;30;94;GP-Glitter
GelPolishGlitter;941619;941619;54;-6;30;94;GP-Glitter
GelPolishGlitter;941618;941618;54;-6;30;94;GP-Glitter
GelPolishGlitter;941617;941617;54;-6;30;94;GP-Glitter
GelPolishGlitter;941616;941616;54;-6;30;94;GP-Glitter
GelPolishGlitter;941615;941615;54;-6;30;94;GP-Glitter
GelPolishGlitter;941614;941614;54;-6;30;94;GP-Glitter
GelPolishGlitter;941613;941613;54;-6;30;94;GP-Glitter
GelPolishGlitter;941612;941612;54;-6;30;94;GP-Glitter
GelPolishGlitter;941611;941611;54;-6;30;94;GP-Glitter
GelPolishGlitter;941610;941610;54;-6;30;94;GP-Glitter
GelPolishGlitter;941609;941609;54;-6;30;94;GP-Glitter
Chrome;941771;941771;-5;-6;30;94;GP-Ingredients
Chrome;941772;941772;-5;-6;30;94;GP-Ingredients
Chrome;941773;941773;-5;-6;30;94;GP-Ingredients
Chrome;941774;941774;-5;-6;30;94;GP-Ingredients
Chrome;941775;941775;-5;-6;30;94;GP-Ingredients
Chrome;941776;941776;-5;-6;30;94;GP-Ingredients
Chrome;941777;941777;-5;-6;30;94;GP-Ingredients
Treatment;943022 Nail prep;943022;-93;-6;30;94;Treatments
Treatment;943023 Ultrabond;943023;-93;-6;30;94;Treatments
Treatment;941013 Base Gel;941013;-93;-6;30;94;Treatments
Treatment;941092 Top gel;941092;-93;-6;30;94;Treatments
Treatment;943021 Remover;943021;-93;-6;30;94;Treatments
Treatment;943026 mega gloss;943026;-93;-6;30;94;Treatments
Treatment;943024 Titanium base;943024;-93;-6;30;94;Treatments
Treatment;943025 Nail force;943025;-93;-6;30;94;Treatments
Treatment;943031 co Vanilla;943031;-93;-6;30;94;Treatments
Treatment;943032 co Cococnut;943032;-93;-6;30;94;Treatments
Treatment;943033 co Peach;943033;-93;-6;30;94;Treatments
Treatment;943034 co Freesia;943034;-93;-6;30;94;Treatments
